epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.217,1.52934,3.00511,1.30388,0.00349,0.97849,0.41523,0.21242,1.35769,3.52921,1.15431,0.00042,0.00042,0.00042
2,383.272,1.4987,2.05065,1.21587,1,0.04789,0.48702,0.24464,1.40488,3.47585,1.27709,0.000842972,0.000842972,0.000842972
3,579.083,1.54197,1.89659,1.2696,0.81677,0.08602,0.31237,0.15395,1.47804,3.38666,1.29528,0.00124852,0.00124852,0.00124852
4,765.488,1.51255,1.72503,1.24472,0.07576,0.08602,0.03729,0.01398,1.87981,3.88845,1.59875,0.00163664,0.00163664,0.00163664
5,953.259,1.5372,1.71604,1.30535,0.27946,0.08602,0.05934,0.02224,1.81019,4.62059,1.58506,0.0018416,0.0018416,0.0018416
6,1144.01,1.49592,1.54603,1.28981,0.03552,0.48387,0.03602,0.01543,1.78891,7.06471,1.6977,0.001802,0.001802,0.001802
7,1333.56,1.53027,1.47047,1.29939,0.39087,0.33333,0.29092,0.12682,1.58967,4.61514,1.45084,0.0017624,0.0017624,0.0017624
