epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.972,1.52934,3.00511,1.30388,0.00349,0.97849,0.41523,0.21242,1.35769,3.52921,1.15431,0.00042,0.00042,0.00042
2,388.94,1.49256,2.04795,1.22243,1,0.08331,0.50069,0.26619,1.37036,3.43522,1.25087,0.00081743,0.00081743,0.00081743
3,581.504,1.52523,1.8875,1.24237,0.37972,0.31183,0.23843,0.12195,1.43632,3.20736,1.36835,0.0011713,0.0011713,0.0011713
4,774.947,1.48243,1.70329,1.22936,0.49088,0.16129,0.20254,0.08434,1.59126,3.4511,1.47274,0.00148161,0.00148161,0.00148161
5,962.726,1.53032,1.73399,1.28119,0.21635,0.38296,0.20775,0.09942,1.6004,4.05429,1.50734,0.001604,0.001604,0.001604
6,1156.96,1.52323,1.54398,1.2777,0.28061,0.46237,0.2106,0.08624,1.70228,2.88618,1.5708,0.001505,0.001505,0.001505
7,1344.72,1.52499,1.48186,1.28717,0.59999,0.62904,0.56162,0.24964,1.77641,2.12379,1.5882,0.001406,0.001406,0.001406
8,1534.28,1.46628,1.37091,1.24932,0.81677,0.74194,0.8107,0.45119,1.41424,1.62272,1.29009,0.001307,0.001307,0.001307
9,1722.39,1.4057,1.27391,1.22902,0.7707,0.64516,0.76244,0.40706,1.48749,1.56108,1.37094,0.001208,0.001208,0.001208
